address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
Ain Zaghouan Tunis Tunisie,,,,,Ain Zaghouan,35,,515000,2,,remax,,Ain Zaghouan Tunis Tunisie,https://www.remax.com.tn/listings/35
Notre Dame Tunis Tunisie,,,,,Notre Dame,3,,5000,2,,remax,,Notre Dame Tunis Tunisie,https://www.remax.com.tn/listings/3
Sidi Daoud Tunis Tunisie,,,,,Sidi Daoud,69,,90000,1,,remax,,Sidi Daoud Tunis Tunisie,https://www.remax.com.tn/listings/69
La Soukra- La Soukra La Soukra Ariana Tunisie,,,,,La Soukra,5,,410000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/5
La Soukra- La Soukra La Soukra Ariana Tunisie,,,,,La Soukra,6,,547000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/6
Djerba - Midoun Médenine Tunisie,,,,,Djerba - Midoun,156,,1800,2,,remax,,Djerba - Midoun Médenine Tunisie,https://www.remax.com.tn/listings/156
Les Jardins du lac 2 Tunis Tunisie,,,,,Les Jardins du lac 2,2,,4000,2,,remax,,Les Jardins du lac 2 Tunis Tunisie,https://www.remax.com.tn/listings/2
La Soukra- La Soukra La Soukra Ariana Tunisie,,,,,La Soukra,68,,1250000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/68
Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,1,,100000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/1
2015 Le Kram Tunis Tunisie,,,,,Le Kram,1,,10000,1,,remax,,Le Kram Tunis Tunisie,https://www.remax.com.tn/listings/1
L'Aouina Tunis Tunisie,,,,,L'Aouina,4,,1500,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/4
Djerba - Midoun Djerba - Midoun Médenine Tunisie,,,,,Djerba - Midoun,9,,185000,2,,remax,,Djerba - Midoun Médenine Tunisie,https://www.remax.com.tn/listings/9
La Marsa La Marsa Tunis Tunisie,,,,,La Marsa,75,,12000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/75
Gammarth Tunis Tunisie,,,,,Gammarth,142,,1350000,2,,remax,,Gammarth Tunis Tunisie,https://www.remax.com.tn/listings/142
- Sedghiane - Djerba - Houmt Souk Djerba - Houmt Souk Médenine Tunisie,,,,,Djerba - Houmt Souk,135,,750000,2,,remax,,Djerba - Houmt Souk Médenine Tunisie,https://www.remax.com.tn/listings/135
Gammarth Tunis Tunisie,,,,,Gammarth,23,,900000,2,,remax,,Gammarth Tunis Tunisie,https://www.remax.com.tn/listings/23
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,39,,1039000,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/39
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,35,,1220000,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/35
La Marsa Tunis Tunisie,,,,,La Marsa,47,,1490000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/47
La Marsa Tunis Tunisie,,,,,La Marsa,46,,1380000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/46
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,38,,1888000,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/38
La Marsa Tunis Tunisie,,,,,La Marsa,49,,1360000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/49
La Marsa Tunis Tunisie,,,,,La Marsa,50,,3727800,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/50
Lac 3 Cité du Park Tunis Tunisie,,,,,Lac 3 Cité du Park,21,,2000,2,,remax,,Lac 3 Cité du Park Tunis Tunisie,https://www.remax.com.tn/listings/21
La Marsa Tunis Tunisie,,,,,La Marsa,1,,3000,1,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/1
Tunis Centre Ville Tunis Tunisie,,,,,Tunis Centre Ville,39,,420000,1,,remax,,Tunis Centre Ville Tunis Tunisie,https://www.remax.com.tn/listings/39
La Soukra Ariana Tunisie,,,,,La Soukra,7,,240000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/7
El Manar 2 El Manar 2 Tunis Tunisie,,,,,El Manar 2,17,,270000,2,,remax,,El Manar 2 Tunis Tunisie,https://www.remax.com.tn/listings/17
